codimap_category,codimap_title,codimap_date,views,comment_numbers
캐주얼,톤온톤 코디,21.07.02,"16,085",49
캐주얼,블랙 매니아,21.02.23,"34,675",46
캐주얼,오늘의 코디,22.03.22,"12,201",38
댄디,추천 댄디 룩,21.09.15,"20,187",27
캐주얼,릴랙스 룩,21.02.23,"23,539",22
스트릿,힙하다 힙해,21.02.03,"35,289",21
캐주얼,심플한 코디,21.07.30,"39,584",18
댄디,데이트 코디,21.12.24,"10,312",18
댄디,훈훈 남친 룩,21.03.24,"19,346",16
캐주얼,지금 입기 좋아,21.08.31,"20,215",16
댄디,서머 데이트 룩,21.07.26,"7,859",15
댄디,남친 룩으로 제격,21.12.24,"9,650",14
포멀,깔끔하게 즐겨,21.11.09,"6,312",13
아메리칸 캐주얼,남다른 감각,21.11.17,"4,335",11
캐주얼,편안함의 완성,21.10.04,"19,423",11
캐주얼,원 마일 웨어,21.10.08,"16,782",10
아메리칸 캐주얼,아메리칸 캐주얼,21.12.21,"4,493",10
캐주얼,편하게 완성,21.07.21,"14,981",10
캐주얼,레이어드의 매력,21.06.04,"12,672",9
포멀,매력적인 포멀 룩,21.09.17,"11,336",9
댄디,레이어드의 매력,21.11.23,"10,162",8
캐주얼,발랄함 가득!,21.07.05,"3,138",8
댄디,남친 룩의 정석,20.11.04,"16,268",8
포멀,손색 없는 단정함,21.11.12,"3,157",8
시크,시크한 감각,21.08.20,"3,715",8
캐주얼,서머 캠퍼스 룩,22.07.19,"3,135",8
캐주얼,꾸안꾸 코디,22.11.04,"3,873",8
포멀,깔끔한 매력,21.03.08,"13,729",8
캐주얼,러블리 캐주얼,20.11.18,"9,417",7
캐주얼,캠퍼스 룩,21.07.12,"7,341",7
캐주얼,오늘의 무드,21.12.06,"6,960",7
캐주얼,캐주얼 룩의 정석,20.11.06,"16,153",7
캐주얼,잘 고른 재킷,20.10.28,"20,261",7
포멀,단정한 모습,21.11.26,"5,651",7
댄디,훈훈한 스타일,21.12.29,"3,514",7
아메리칸 캐주얼,실패 없는 코디,21.06.11,"8,270",6
캐주얼,피크닉 가자!,21.08.20,"2,694",6
댄디,데이트하는 날,21.09.07,"16,908",6
댄디,레더 스타일링,21.09.28,"8,152",6
아메리칸 캐주얼,센스 있는 아메카지,22.10.26,"7,000",6
캐주얼,귀여운 프레피 룩,21.06.04,"12,146",6
캐주얼,남친 룩 추천,21.06.11,"10,874",6
아메리칸 캐주얼,아메카지 무드,22.06.17,"4,688",6
로맨틱,레트로 스타일링,21.05.17,"2,296",6
포멀,깔끔한 연출,21.11.10,"3,573",6
포멀,클래식한 실루엣,21.01.15,"4,237",6
포멀,완벽한 스타일링,21.09.15,"3,985",6
캐주얼,멋 내는 방법,21.07.02,"5,895",5
걸리시,귀여운 매치,21.05.17,"1,917",5
스트릿,스트릿 무드,21.09.06,"4,285",5
캐주얼,캐주얼 룩의 정석,21.03.12,"10,976",5
스트릿,스트라이프 활용법,21.02.19,"2,799",5
걸리시,누구나 반해,21.12.24,"4,543",5
포멀,데이트 룩 완성!,21.02.08,"10,457",5
캐주얼,편하게 멋 내봐,21.09.08,"11,399",5
댄디,레이어드 코디,21.06.10,"2,568",5
캐주얼,그린 포인트!,21.05.28,"5,429",5
캐주얼,트렌디해!,21.12.24,"2,702",5
캐주얼,가볍게 툭!,21.05.31,"3,436",5
캐주얼,레트로 무드,21.03.12,"11,481",5
